

----------------------------------------------------
STRUCTURE by Pritchard, Stephens and Donnelly (2000)
     and Falush, Stephens and Pritchard (2003)
       Code by Pritchard, Falush and Hubisz
             Version 2.3.4 (Jul 2012)
----------------------------------------------------


Reading file "mainparams".
datafile is
locprior.str
Reading file "extraparams".
Reading file "locprior.str".


Data file "locprior.str" (truncated) --

Ind:   Label Pop : Genotype_data . . . .
  1:     1   19  :  2   3   3   1   2   2   1  . . . .   2
  1:     1   19  :  2   1   1   1   1   2   1  . . . .   3
  2:     2    1  :  2   3   3   1   1   3   1  . . . .   3
  2:     2    1  :  0   0   0   1   1   3   1  . . . .   3
  3:     3   20  :  0   0   0   1   3   3   1  . . . .   2
  3:     3   20  :  3   3   3   1   3   3   1  . . . .   2
  4:     4    4  :  2   3   3   1   3   2   1  . . . .   0
  4:     4    4  :  2   3   0   1   3   2   1  . . . .   2

      *******   

 99:    99    5  :  3   1   0   1   3   3   2  . . . .   2
 99:    99    5  :  2   1   1   1   1   3   1  . . . .   2
100:   100   18  :  0   1   0   1   1   2   1  . . . .   3
100:   100   18  :  0   1   3   1   2   2   2  . . . .   3

Number of alleles per locus: min= 2; ave=3.5; max= 4


--------------------------------------

Finished initialization; starting MCMC 
20000 iterations + 10000 burnin


 Rep#:   Lambda   Alpha      F1       Ln Like 
 5500:    1.00    0.202    0.001      --  
 5600:    1.00    0.448    0.001      --  
 5700:    1.00    0.519    0.001      --  
 5800:    1.00    0.810    0.001      --  
 5900:    1.00    0.484    0.000      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 6000:    1.00    0.492    0.000      --  
 6100:    1.00    0.284    0.000      --  
 6200:    1.00    0.310    0.000      --  
 6300:    1.00    0.195    0.000      --  
 6400:    1.00    0.270    0.000      --  
 6500:    1.00    0.277    0.000      --  
 6600:    1.00    0.345    0.000      --  
 6700:    1.00    0.746    0.000      --  
 6800:    1.00    1.119    0.000      --  
 6900:    1.00    0.609    0.000      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 7000:    1.00    0.513    0.000      --  
 7100:    1.00    0.634    0.000      --  
 7200:    1.00    0.443    0.000      --  
 7300:    1.00    0.744    0.000      --  
 7400:    1.00    0.470    0.000      --  
 7500:    1.00    0.196    0.000      --  
 7600:    1.00    0.367    0.000      --  
 7700:    1.00    0.574    0.000      --  
 7800:    1.00    0.328    0.001      --  
 7900:    1.00    0.299    0.001      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 8000:    1.00    0.042    0.001      --  
 8100:    1.00    0.016    0.001      --  
 8200:    1.00    0.197    0.001      --  
 8300:    1.00    0.050    0.001      --  
 8400:    1.00    0.125    0.001      --  
 8500:    1.00    0.526    0.001      --  
 8600:    1.00    0.394    0.001      --  
 8700:    1.00    0.085    0.001      --  
 8800:    1.00    0.008    0.001      --  
 8900:    1.00    0.265    0.001      --  

 Rep#:   Lambda   Alpha      F1       Ln Like 
 9000:    1.00    0.125    0.001      --  
 9100:    1.00    0.204    0.001      --  
 9200:    1.00    0.215    0.001      --  
 9300:    1.00    0.307    0.001      --  
 9400:    1.00    0.823    0.004      --  
 9500:    1.00    0.846    0.001      --  
 9600:    1.00    1.033    0.001      --  
 9700:    1.00    0.746    0.001      --  
 9800:    1.00    0.626    0.004      --  
 9900:    1.00    1.016    0.001      --  
10000:    1.00    0.970    0.001      --  

BURNIN completed
 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
10100:    1.00    1.033    0.001      -1823    0 
10200:    1.00    0.890    0.001      -1825    0 
10300:    1.00    0.653    0.001      -1828    0 
10400:    1.00    0.397    0.001      -1832    0 
10500:    1.00    0.884    0.002      -1829    0 
10600:    1.00    0.898    0.002      -1831    0 
10700:    1.00    0.809    0.002      -1827    0 
10800:    1.00    0.534    0.029      -1824    0 
10900:    1.00    0.327    0.059      -1822    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
11000:    1.00    0.009    0.038      -1831    0 
11100:    1.00    0.284    0.013      -1827    0 
11200:    1.00    0.127    0.004      -1836    0 
11300:    1.00    0.103    0.004      -1825    0 
11400:    1.00    0.131    0.005      -1824    0 
11500:    1.00    0.650    0.013      -1827    0 
11600:    1.00    0.523    0.014      -1828    0 
11700:    1.00    0.381    0.004      -1825    0 
11800:    1.00    0.484    0.002      -1826    0 
11900:    1.00    0.232    0.002      -1822    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
12000:    1.00    0.126    0.002      -1831    0 
12100:    1.00    0.097    0.012      -1827    0 
12200:    1.00    0.489    0.015      -1823    0 
12300:    1.00    0.732    0.003      -1828    0 
12400:    1.00    0.592    0.003      -1828    0 
12500:    1.00    0.361    0.003      -1823    0 
12600:    1.00    0.167    0.003      -1827    0 
12700:    1.00    0.325    0.003      -1823    0 
12800:    1.00    0.880    0.006      -1825    0 
12900:    1.00    1.198    0.019      -1828    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
13000:    1.00    0.867    0.021      -1827    0 
13100:    1.00    1.007    0.081      -1822    0 
13200:    1.00    0.908    0.026      -1831    0 
13300:    1.00    0.628    0.017      -1828    0 
13400:    1.00    0.868    0.005      -1826    0 
13500:    1.00    1.201    0.008      -1832    0 
13600:    1.00    1.107    0.005      -1827    0 
13700:    1.00    0.909    0.006      -1823    0 
13800:    1.00    1.069    0.006      -1830    0 
13900:    1.00    1.033    0.005      -1827    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
14000:    1.00    0.960    0.007      -1822    0 
14100:    1.00    0.786    0.016      -1824    0 
14200:    1.00    0.552    0.027      -1828    0 
14300:    1.00    0.282    0.014      -1826    0 
14400:    1.00    0.485    0.015      -1835    0 
14500:    1.00    0.603    0.054      -1823    0 
14600:    1.00    0.517    0.022      -1822    0 
14700:    1.00    0.187    0.023      -1823    0 
14800:    1.00    0.060    0.029      -1830    0 
14900:    1.00    0.026    0.028      -1825    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
15000:    1.00    0.225    0.035      -1828    0 
15100:    1.00    0.016    0.004      -1825    0 
15200:    1.00    0.280    0.003      -1830    0 
15300:    1.00    0.471    0.003      -1825    0 
15400:    1.00    0.946    0.003      -1825    0 
15500:    1.00    0.489    0.007      -1829    0 
15600:    1.00    0.353    0.007      -1833    0 
15700:    1.00    0.286    0.022      -1824    0 
15800:    1.00    0.030    0.040      -1823    0 
15900:    1.00    0.233    0.016      -1834    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
16000:    1.00    0.479    0.020      -1823    0 
16100:    1.00    0.766    0.213      -1825    0 
16200:    1.00    1.046    0.033      -1827    0 
16300:    1.00    0.990    0.011      -1822    0 
16400:    1.00    1.318    0.007      -1825    0 
16500:    1.00    1.139    0.009      -1826    0 
16600:    1.00    1.260    0.007      -1826    0 
16700:    1.00    1.391    0.003      -1831    0 
16800:    1.00    1.249    0.008      -1826    0 
16900:    1.00    1.512    0.092      -1827    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
17000:    1.00    2.165    0.009      -1826    0 
17100:    1.00    2.247    0.013      -1831    0 
17200:    1.00    2.123    0.008      -1826    0 
17300:    1.00    2.300    0.006      -1824    0 
17400:    1.00    2.517    0.020      -1822    0 
17500:    1.00    1.925    0.006      -1823    0 
17600:    1.00    2.202    0.010      -1824    0 
17700:    1.00    2.253    0.010      -1821    0 
17800:    1.00    2.054    0.017      -1831    0 
17900:    1.00    2.293    0.023      -1825    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
18000:    1.00    2.273    0.012      -1835    0 
18100:    1.00    1.877    0.022      -1827    0 
18200:    1.00    2.450    0.001      -1824    0 
18300:    1.00    2.808    0.002      -1825    0 
18400:    1.00    2.303    0.002      -1829    0 
18500:    1.00    2.020    0.002      -1826    0 
18600:    1.00    2.276    0.001      -1824    0 
18700:    1.00    2.565    0.001      -1824    0 
18800:    1.00    2.617    0.001      -1831    0 
18900:    1.00    2.517    0.001      -1829    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
19000:    1.00    2.742    0.001      -1827    0 
19100:    1.00    3.184    0.001      -1825    0 
19200:    1.00    3.052    0.001      -1822    0 
19300:    1.00    3.506    0.001      -1829    0 
19400:    1.00    3.271    0.003      -1825    0 
19500:    1.00    3.602    0.004      -1828    0 
19600:    1.00    4.071    0.024      -1831    0 
19700:    1.00    3.961    0.008      -1832    0 
19800:    1.00    4.329    0.005      -1835    0 
19900:    1.00    4.620    0.003      -1827    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
20000:    1.00    4.679    0.002      -1826    0 
20100:    1.00    4.675    0.005      -1822    0 
20200:    1.00    4.800    0.031      -1830    0 
20300:    1.00    4.616    0.010      -1822    0 
20400:    1.00    4.872    0.030      -1828    0 
20500:    1.00    5.490    0.036      -1831    0 
20600:    1.00    5.435    0.026      -1827    0 
20700:    1.00    5.247    0.014      -1834    0 
20800:    1.00    5.302    0.086      -1824    0 
20900:    1.00    4.950    0.013      -1828    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
21000:    1.00    4.948    0.025      -1827    0 
21100:    1.00    5.261    0.010      -1829    0 
21200:    1.00    4.917    0.004      -1828    0 
21300:    1.00    5.011    0.009      -1826    0 
21400:    1.00    4.953    0.076      -1825    0 
21500:    1.00    4.241    0.077      -1831    0 
21600:    1.00    4.165    0.017      -1823    0 
21700:    1.00    3.919    0.010      -1822    0 
21800:    1.00    4.061    0.006      -1832    0 
21900:    1.00    4.065    0.002      -1825    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
22000:    1.00    4.299    0.002      -1827    0 
22100:    1.00    4.148    0.002      -1825    0 
22200:    1.00    4.120    0.003      -1827    0 
22300:    1.00    3.895    0.009      -1837    0 
22400:    1.00    4.159    0.010      -1831    0 
22500:    1.00    4.546    0.006      -1823    0 
22600:    1.00    4.473    0.026      -1827    0 
22700:    1.00    4.462    0.056      -1823    0 
22800:    1.00    4.694    0.035      -1827    0 
22900:    1.00    4.764    0.030      -1824    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
23000:    1.00    4.341    0.023      -1832    0 
23100:    1.00    3.819    0.009      -1827    0 
23200:    1.00    3.458    0.034      -1828    0 
23300:    1.00    3.491    0.014      -1825    0 
23400:    1.00    3.529    0.024      -1826    0 
23500:    1.00    3.622    0.013      -1826    0 
23600:    1.00    3.591    0.006      -1828    0 
23700:    1.00    2.901    0.003      -1823    0 
23800:    1.00    2.802    0.002      -1825    0 
23900:    1.00    2.799    0.004      -1826    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
24000:    1.00    2.702    0.004      -1834    0 
24100:    1.00    2.859    0.003      -1824    0 
24200:    1.00    2.980    0.002      -1824    0 
24300:    1.00    2.586    0.002      -1820    0 
24400:    1.00    2.590    0.001      -1826    0 
24500:    1.00    1.998    0.001      -1827    0 
24600:    1.00    2.009    0.001      -1830    0 
24700:    1.00    1.835    0.001      -1832    0 
24800:    1.00    2.025    0.001      -1834    0 
24900:    1.00    2.010    0.001      -1822    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
25000:    1.00    1.696    0.001      -1824    0 
25100:    1.00    2.026    0.001      -1827    0 
25200:    1.00    2.208    0.001      -1827    0 
25300:    1.00    2.415    0.003      -1835    0 
25400:    1.00    2.108    0.003      -1824    0 
25500:    1.00    1.988    0.002      -1825    0 
25600:    1.00    2.176    0.001      -1828    0 
25700:    1.00    2.373    0.002      -1827    0 
25800:    1.00    2.388    0.002      -1826    0 
25900:    1.00    2.170    0.002      -1825    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
26000:    1.00    2.087    0.005      -1823    0 
26100:    1.00    1.796    0.004      -1829    0 
26200:    1.00    1.986    0.002      -1829    0 
26300:    1.00    2.346    0.001      -1827    0 
26400:    1.00    2.668    0.001      -1824    0 
26500:    1.00    2.691    0.001      -1826    0 
26600:    1.00    2.287    0.001      -1824    0 
26700:    1.00    2.564    0.001      -1827    0 
26800:    1.00    2.378    0.001      -1828    0 
26900:    1.00    2.237    0.001      -1824    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
27000:    1.00    2.323    0.001      -1829    0 
27100:    1.00    2.478    0.001      -1829    0 
27200:    1.00    2.716    0.001      -1823    0 
27300:    1.00    2.324    0.001      -1830    0 
27400:    1.00    2.200    0.000      -1825    0 
27500:    1.00    2.432    0.000      -1823    0 
27600:    1.00    2.183    0.000      -1827    0 
27700:    1.00    1.947    0.000      -1825    0 
27800:    1.00    1.905    0.000      -1830    0 
27900:    1.00    2.393    0.000      -1825    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
28000:    1.00    2.152    0.000      -1826    0 
28100:    1.00    2.386    0.000      -1828    0 
28200:    1.00    2.737    0.000      -1831    0 
28300:    1.00    2.428    0.000      -1836    0 
28400:    1.00    2.878    0.000      -1828    0 
28500:    1.00    2.637    0.000      -1829    0 
28600:    1.00    3.037    0.000      -1832    0 
28700:    1.00    3.245    0.000      -1832    0 
28800:    1.00    3.417    0.000      -1827    0 
28900:    1.00    3.679    0.000      -1822    0 

 Rep#:   Lambda   Alpha      F1       Ln Like  Est Ln P(D)
29000:    1.00    3.529    0.000      -1823    0 
29100:    1.00    3.737    0.000      -1828    0 
29200:    1.00    3.761    0.000      -1823    0 
29300:    1.00    4.047    0.000      -1834    0 
29400:    1.00    3.948    0.000      -1833    0 
29500:    1.00    3.994    0.000      -1830    0 
29600:    1.00    4.292    0.000      -1825    0 
29700:    1.00    4.092    0.000      -1827    0 
29800:    1.00    4.152    0.000      -1826    0 
29900:    1.00    4.423    0.000      -1825    0 
30000:    1.00    4.476    0.000      -1823    0 

MCMC completed

Inferred ancestry of individuals:
        Label (%Miss) Pop:  Inferred clusters
  1        1    (0)   19 :  1.000 
  2        2    (0)    1 :  1.000 
  3        3    (0)   20 :  1.000 
  4        4    (0)    4 :  1.000 
  5        5    (0)    9 :  1.000 
  6        6    (0)   24 :  1.000 
  7        7    (0)   22 :  1.000 
  8        8    (0)   15 :  1.000 
  9        9    (0)   17 :  1.000 
 10       10    (0)    9 :  1.000 
 11       11    (0)   13 :  1.000 
 12       12    (0)    5 :  1.000 
 13       13    (0)    5 :  1.000 
 14       14    (0)   15 :  1.000 
 15       15    (0)   18 :  1.000 
 16       16    (0)   20 :  1.000 
 17       17    (0)   19 :  1.000 
 18       18    (0)   21 :  1.000 
 19       19    (0)   21 :  1.000 
 20       20    (0)   13 :  1.000 
 21       21    (0)   11 :  1.000 
 22       22    (0)   12 :  1.000 
 23       23    (0)    7 :  1.000 
 24       24    (0)    6 :  1.000 
 25       25    (0)   19 :  1.000 
 26       26    (0)    8 :  1.000 
 27       27    (0)   13 :  1.000 
 28       28    (0)   18 :  1.000 
 29       29    (0)   16 :  1.000 
 30       30    (0)    2 :  1.000 
 31       31    (0)    6 :  1.000 
 32       32    (0)   24 :  1.000 
 33       33    (0)   13 :  1.000 
 34       34    (0)   17 :  1.000 
 35       35    (0)   25 :  1.000 
 36       36    (0)    2 :  1.000 
 37       37    (0)    6 :  1.000 
 38       38    (0)    9 :  1.000 
 39       39    (0)   20 :  1.000 
 40       40    (0)   15 :  1.000 
 41       41    (0)   15 :  1.000 
 42       42    (0)   12 :  1.000 
 43       43    (0)   10 :  1.000 
 44       44    (0)   14 :  1.000 
 45       45    (0)    5 :  1.000 
 46       46    (0)   21 :  1.000 
 47       47    (0)   17 :  1.000 
 48       48    (0)    6 :  1.000 
 49       49    (0)    4 :  1.000 
 50       50    (0)    5 :  1.000 
 51       51    (0)   11 :  1.000 
 52       52    (0)   19 :  1.000 
 53       53    (0)   25 :  1.000 
 54       54    (0)   17 :  1.000 
 55       55    (0)   12 :  1.000 
 56       56    (0)   11 :  1.000 
 57       57    (0)   16 :  1.000 
 58       58    (0)   16 :  1.000 
 59       59    (0)    2 :  1.000 
 60       60    (0)   13 :  1.000 
 61       61    (0)   20 :  1.000 
 62       62    (0)   21 :  1.000 
 63       63    (0)    1 :  1.000 
 64       64    (0)   16 :  1.000 
 65       65    (0)   15 :  1.000 
 66       66    (0)   11 :  1.000 
 67       67    (0)   24 :  1.000 
 68       68    (0)    3 :  1.000 
 69       69    (0)    2 :  1.000 
 70       70    (0)   15 :  1.000 
 71       71    (0)   17 :  1.000 
 72       72    (0)    7 :  1.000 
 73       73    (0)   15 :  1.000 
 74       74    (0)    2 :  1.000 
 75       75    (0)   16 :  1.000 
 76       76    (0)   17 :  1.000 
 77       77    (0)    1 :  1.000 
 78       78    (0)   11 :  1.000 
 79       79    (0)   22 :  1.000 
 80       80    (0)    3 :  1.000 
 81       81    (0)   11 :  1.000 
 82       82    (0)   23 :  1.000 
 83       83    (0)   21 :  1.000 
 84       84    (0)   14 :  1.000 
 85       85    (0)   20 :  1.000 
 86       86    (0)   12 :  1.000 
 87       87    (0)   14 :  1.000 
 88       88    (0)    6 :  1.000 
 89       89    (0)   12 :  1.000 
 90       90    (0)   12 :  1.000 
 91       91    (0)   20 :  1.000 
 92       92    (0)   19 :  1.000 
 93       93    (0)    5 :  1.000 
 94       94    (0)    1 :  1.000 
 95       95    (0)    3 :  1.000 
 96       96    (0)   10 :  1.000 
 97       97    (0)   14 :  1.000 
 98       98    (0)   23 :  1.000 
 99       99    (0)    5 :  1.000 
100      100    (0)   18 :  1.000 

Command line arguments:   structure -K 1 -o locprior_K1.out_f 
Input File:    locprior.str
Output File:   locprior_K1.out_f_f

Run parameters:
   100 individuals
   10 loci
   1 populations assumed
   10000 Burn-in period
   20000 Reps
RANDOMIZE turned off

--------------------------------------------
Estimated Ln Prob of Data   = -1833.5
Mean value of ln likelihood = -1827.2
Variance of ln likelihood   = 12.6

Mean value of Fst_1         = 0.0115


--------------------------------------------
Proportion of membership of each pre-defined
 population in each of the 1 clusters

Given    Inferred Clusters       Number of
 Pop       1                    Individuals

  1:     1.000                      4
  2:     1.000                      5
  3:     1.000                      3
  4:     1.000                      2
  5:     1.000                      6
  6:     1.000                      5
  7:     1.000                      2
  8:     1.000                      1
  9:     1.000                      3
 10:     1.000                      2
 11:     1.000                      6
 12:     1.000                      6
 13:     1.000                      5
 14:     1.000                      4
 15:     1.000                      7
 16:     1.000                      5
 17:     1.000                      6
 18:     1.000                      3
 19:     1.000                      5
 20:     1.000                      6
 21:     1.000                      5
 22:     1.000                      2
 23:     1.000                      2
 24:     1.000                      3
 25:     1.000                      2
--------------------------------------------
Final results printed to file locprior_K1.out_f_f

